ensembl_gene_id	hgnc_symbol
ENSG00000101986	ABCD1
ENSG00000123130	ACOT9
ENSG00000197976	AKAP17A
ENSG00000101901	ALG13
ENSG00000126016	AMOT
ENSG00000182287	AP1S2
ENSG00000184831	APOO
ENSG00000089820	ARHGAP4
ENSG00000047648	ARHGAP6
ENSG00000196440	ARMCX4
ENSG00000006756	ARSD
ENSG00000169093	ASMTL
ENSG00000071553	ATP6AP1
ENSG00000182220	ATP6AP2
ENSG00000085224	ATRX
ENSG00000085185	BCORL1
ENSG00000133134	BEX2
ENSG00000102409	BEX4
ENSG00000182492	BGN
ENSG00000185515	BRCC3
ENSG00000010671	BTK
ENSG00000169239	CA5B
ENSG00000002586	CD99
ENSG00000102225	CDK16
ENSG00000102384	CENPI
ENSG00000292191	CETN2
ENSG00000147400	CETN2
ENSG00000126759	CFP
ENSG00000101938	CHRDL1
ENSG00000171365	CLCN5
ENSG00000165376	CLDN2
ENSG00000155962	CLIC2
ENSG00000197565	COL4A6
ENSG00000185753	CXorf38
ENSG00000165182	CXorf58
ENSG00000204165	CXorf65
ENSG00000165168	CYBB
ENSG00000169084	DHRSX
ENSG00000082458	DLG3
ENSG00000198947	DMD
ENSG00000013563	DNASE1L1
ENSG00000198759	EGFL6
ENSG00000130741	EIF2S3
ENSG00000102034	ELF4
ENSG00000126767	ELK1
ENSG00000185010	F8
ENSG00000165591	FAAH2
ENSG00000123575	FAM199X
ENSG00000071889	FAM3A
ENSG00000181544	FANCB
ENSG00000022267	FHL1
ENSG00000196924	FLNA
ENSG00000147234	FRMPD3
ENSG00000165775	FUNDC2
ENSG00000160219	GAB3
ENSG00000102287	GABRE
ENSG00000203879	GDI1
ENSG00000198814	GK
ENSG00000102393	GLA
ENSG00000076716	GPC4
ENSG00000046653	GPM6B
ENSG00000292219	GRIPAP1
ENSG00000068400	GRIPAP1
ENSG00000189369	GSPT2
ENSG00000178605	GTPBP6
ENSG00000056998	GYG2
ENSG00000172534	HCFC1
ENSG00000029993	HMGB3
ENSG00000126945	HNRNPH2
ENSG00000171004	HS6ST2
ENSG00000086758	HUWE1
ENSG00000010404	IDS
ENSG00000185291	IL3RA
ENSG00000184216	IRAK1
ENSG00000102221	JADE3
ENSG00000102349	KLF8
ENSG00000102271	KLHL4
ENSG00000005893	LAMP2
ENSG00000182195	LDOC1
ENSG00000236871	LINC00106
ENSG00000130224	LRCH2
ENSG00000179222	MAGED1
ENSG00000189221	MAOA
ENSG00000129680	MAP7D3
